Name,Latitude,Longitude,Address,Phone,Email,Website,Description,min_age,max_age,image_url,category
Kid Sports Canada,40.06771,-82.51947,"(Mail) PO Box 60633 Granville Park RPO Vancouver, BC V6H 4B9",,kidsportvancouver@gmail.com,http://www.kidsportcanada.ca/british-columbia/vancouver/,"KidSport Vancouver was formed in 2009 and is one of approximately 40 chapters in B.C. We are a community chapter of KidSport BC, which is part of Sport BC, the provincial federation for sport. Due to the sheer size of the population of Vancouver and the diversity of the community, KidSport Vancouver is one of the highest demand chapters in Canada.",12,18,http://www.kidsportcanada.ca/photostream/kidsport-at-cibcs-soccer-nation/,sport
Sport BC,49.2878,-123.1135,"#250 - 999 Canada Place, Vancouver, BC, V6C 3C1",604-333-3400,info@sportbc.com,http://www.sportbc.com,"Sport BC is the non-profit sport federation, representing over 50 Provincial Sport Organizations in British Columbia. As a member-based organization, Sport BC offers services and programs to build the capacity of our members and advocate on their behalf to improve the landscape for organized sport in BC.",12,18,http://www.graphis.com/media/LEGACY-FILES/cfe/47_designannual2012/4324_1a2c633862405b23a66f90bff5d342d6.jpg,sport
A4K,49.320099,-123.098506,"(Mail) Suite 214-901 West 3rd Street North Vancouver, B.C. V7P 3P9",604-838-7529,a4kapplications@gmail.com,https://www.a4k.ca/,"The support of A4K is available province-wide for children ages 5 to 18 who are currently enrolled in school. Basic registration fees are paid for a multitude of approved sports, up to an annual maximum of $600 per child (which is considerably higher than other sport funding charities).",5,18,https://pbs.twimg.com/media/DlopfPIU4AAzT7G.jpg:large,sport
Chill Vancouver,49.26411,-123.11003,"300-225 W 8th Ave., Vancouver, BC V5Y 1N3",604-499-9399,mandip@chill.org,http://chill.org/vancouver,"Chill has served more than 22,000 young people since the program began, working with approximately 1,600 youth annually. We work with social service agencies, mental health agencies, foster care programs, juvenile justice programs, and schools in local communities to select youth participants. Everything is provided to the youth at no cost.",10,18,https://static1.squarespace.com/static/579bcdf6e3df287f0062b4cb/t/5b4f80942b6a282eb3a2a83b/1531937151442/CHILL-SPRING2018-25.jpg?format=1000w,sport
Via Sport BC,49.285656,-123.114373,"Suite 1351 - 409 Granville Street, Vancouver, B.C., V6C 1T2",778-654-7542,info@viasport.ca," ""https://www.viasport.ca/about-us""","At viaSport, we believe that all British Columbians deserve equitable opportunities to develop and realize their potential through sport – as an athlete, coach, official or volunteer. ",12,18,https://www.viasport.ca/sites/default/files/Banners/CW2018%20Web%20Banner.jpg,sport
BC Deaf Sport,49.205106,-122.903951,"320 Columbia St, New Westminster, BC V3L 1A7",604-526-5010,info@bcdeafsports.ca,https://www.vancouverfoundation.ca/bcdeafsports,"BC Deaf Sports Federation is a multi-sport, non-profit organization that acts as an umbrella for Deaf and Hard-of-Hearing athletes in BC. We work with Deaf and Hard-of-Hearing athletes across the province to promote awareness and acceptance of these athletes provincially and nationally.",10,18,https://www.vancouverfoundation.ca/sites/default/files/documents/logo1_BCDSF.jpg,sport
ProMOTION Plus,49.279871,-123.118078,194 – 71 West 2nd Avenue  Vancouver BC V5Y 0J7,,,http://promotionplus.org/,"As the British Columbia non-profit organization solely dedicated to increasing opportunities for girls and women in physical activity and sport, ProMOTION Plus helps female athletes, coaches, officials, volunteers administrators reach their potential.",10,18,http://promotionplus.org/wp-content/uploads/2015/07/promot ion-plus-logo-pms-t-medium-res2.jpg,sport
BC Athletics,49.251581,-122.967648,"3713 Kensington Ave, Burnaby, BC V5B 0A7",604-333-3550,bcathletics@bcathletics.org,http://www.bcathletics.org/,"BC Athletics is the Provincial non-profit amateur sport organization for Track & Field, Road Running, Marathons/Ultras, Cross Country/Trail Running and Race Walking. A Branch member of Athletics Canada, BC.",12,18,http://www.bcathletics.org/images/bcathletics-logo.png,sport
Association of Neighbourhood Houses BC,49.257279,-123.100875,"#203-3102 Main Street Vancouver, BC, Canada V5T 3G7",,,http://anhbc.org/,"ANHBC is a non-profit organization and a registered charity. Along with operating our neighbourhood houses and camp, we also organize fundraising initiatives, carry out community development projects, support the development of new neighbourhood houses and services.",12,18,http://anhbc.org/wp-content/uploads/2017/04/anhbc-logo.png,sport
Thunderbird Community Centre,49.263902,-123.031318,"2311 Cassiar St. Vancouver, BC V5M 3X4",604-713-1818,thunderbirdcc@vancouver.ca,https://thunderbirdcc.ca/,"Youth in this community are directly at risk due to the lack of financial support and resources available to them.  A compounding factor is that youth raised in a high crime community often come to view crime, drug use and gang participation as normalized behaviour.  Without positive guidance at the community level many of these youth will become statistics just like members from the generation previous.",10,19,https://lh3.googleusercontent.com/mh6s5dHKGJi3Pfw-CyZGFwoc7PkfY3_iJcvyG3cqJUG3J-8RyHz4rDeUmB8s32y3XlUnqIHXxycBdpoIeHopOBJIAS3Uf6a5NyE1lg=s0,sport
